IDX,TRANSLATION
,"Спряжение devoir и redevoir немного отличается от спряжения общей группы глаголов, образованных от voir — у них в причастии прошедшего времени стоит циркумфлекс в форме мужского рода единственного числа: dû и redû, остальные формы причастия пишутся без крышки: due, dus, dues, redue, redues, redus. Это неспроста! Крышка в dû нужна, чтобы отличать его от артикля du. А у redû такой проблемы нет, поэтому реформа 1990 года разрешила у этого глагола ее не ставить. В отличие от двух других модальных глаголов, в 1-м и во 2-м лицах в indicatif présent у devoir стоит окончание не -x, а -s — в этом месте многие ошибаются. Еще раз: je dois, tu dois. Мнемоническое правило: видишь в инфинитиве voir — смотри, не сделай ошибки! :)"
,"Схема спряжения для глаголов entrevoir, revoir и prévoir. У последнего le futur и le conditionnel выглядят как je prévoirai и je prévoirais..."
,"Подобным образом спрягаются глаголы équivaloir, prévaloir, revaloir. В subjonctif présent prévaloir выглядит, как que je prévale. Первое и второе лицо в indicatif présent заканчиваются на -x : je vaux, tu vaux."
,"Таким образом спрягаются все глаголы на -eindre, -oindre и -aindre (а их больше двух десятков) — у них заменилась d в indicatif présent на t: j'atteins - tu atteins - il atteint."
,Схема спряжения глаголов на -ouillir
,"Подобным образом спрягаются глаголы mentir, sentir, partir, se repentir, sortir и глаголы, образованные от них. 

<b>Обратите внимание</b>, что у глагола mentir причастие прошедшего времени — menti — не меняется в женском роде и множественном числе, а у производных глаголов —  согласуется в роде и числе: démenti, démentie."
,"Подобным образом спрягаются глаголы récrire, décrire и все глаголы на -scrire."
,"Так спрягаются глаголы redormir, endormir, rendormir."
,Спряжение глаголов s'enfuir et fuir.
,Подобным образом спрягаются s'ensuivre (вспомогательный глаглол être) и poursuivre.
,"Спряжение глаголов группы quérir. Для acquérir, не путайте причастие substantivé acquis (avoir des acquis) с отглагольным существительным acquit de acquitter (par acquit)."
,"Так спрягаются все глаголы, образованные от tenir."
,"Схема спряжения глаголов traire, extraire, distraire и других производных. У этих глаголов нет форм в passé simple и в imparfait du subjonctif."
,"Так спрягаются глаголы tressaillir и défaillir. У глагола saillir в будущем времени i заменяется на e: il saill<b>e</b>ra - ils saill<b>e</b>ront. Faillir спрягается только в третьем лице — остальные формы формально существуют, но вышли из употребления; в настоящем времени в индикативе они имеют форму на -aux : je faux... il faut. Между тем, в значении faire faillite (разориться), этот глагол спрягается по схеме finir, но практически не используется в форме un failli. Défaillir спрягается в форме assailir в настоящем времени: je défaille..., но и его устаревшая форма je défaus... все еще приемлема."
,"Несмотря на то, что aller заканчивается на <b>-er</b>, он, тем не менее, является неправильным глаголом, и более того — <i>самым неправильным глаголом</i> французского языка. Неправильнее не бывает. Лингвисты называют его мистическим, потому что правда о его происхождении теряется в глубине веков. Известно, что три основы, чередующиеся в его спряжении — all-, v- и ir- — восходят к трём разным латинским глаголам: ambulare, vadere и ire.

<b>Основа на all-.</b> Самая достоверная версия родословной aller говорит, что этот корень прошел путь от латинского AMBULARE, означающего «гулять» (даже в русском языке слово «амбулаторный» означает «подвижный») через свой императив AMBULATE — армейскую команду «разойтись!» — по такой цепочке: AMBULARE → AMBULATE → AMB'LATE → ALATE → ALARE. Последняя форма — это уже народная латынь, слово, зафиксированное в VII веке.

Дело в том, что латинский язык после падения Рима, потеряв «внешнее управление» в лице государства, менялся так быстро, что уже три века спустя понимался с трудом. Чтобы понять текст библии, написанной на латыни, монахам приходилось на ее полях записывать переводы слов и фраз, ставших в их веке уже непонятными. Из этих маржинальных глоссариев мы и узнаем о том, как изменялся язык о ту пору.

<div style=""display:inline;float:left;margin-top:5px;margin-right:0px;margin-bottom:15px;margin-left:0px"">
    <img border=""0"" src=""//files.le-francais.ru/photos/illustrations/glosses.jpg"">
</div>

Такая значительная трансформация слова за столь короткий период:  AMBULARE → ALARE —  объясняется еще и тем, что в языке Галлов, народа, жившего на территории современной Франции и завоеванного римлянами, имелся глагол amlāre со схожим смыслом (ну, так вот удачно совпало!). Это подстегнуло процесс.

<b>Второй вариант основы</b> произошел от глагола VADERE, означающего <i>двигаться, устремляться; наступать на врага</i> — снова военный термин, не находите? 

Этот глагол дал начало четырем временным формам aller. Вот их сравнение в настоящем времени изъявительного наклонения:

<div class=""table-responsive""><table border=""1"" cellspacing=""0"" cellpadding=""0"" class=""table-hover table-bordered table-striped table"">

   <tr>
       <td> Форма</td>
       <td>Латинский язык</td>
       <td>Французский язык</td>
   </tr>
   <tr>
       <td>«я» </td>
       <td>vādō</td>
       <td>je vais</td>
   </tr>
   <tr>
       <td>«ты» </td>
       <td>vādis</td>
       <td>tu vas</td>
   </tr>
   <tr>
       <td>«он»</td>
       <td>vādit</td>
       <td>il va</td>
   </tr>
   <tr>
       <td>«мы»</td>
       <td><span style=""color: #CACACA"">vādimus</span></td>
       <td><span style=""color: #CACACA"">nous allons</span></td>
   </tr>
   <tr>
       <td>«вы»</td>
       <td><span style=""color: #CACACA"">vāditis</span></td>
       <td><span style=""color: #CACACA"">vous allez</span></td>
   </tr>
   <tr>
       <td>«они»</td>
       <td>vādunt</td>
       <td>ils iront</td>
   </tr>
</table>
</div>

И, наконец, <b>третья основа</b> в спряжении aller произошла от латинского глагола IRE, который как раз и означает весь спектр глагола <i>идти</i> во всех его гражданских смыслах. Но этот корень закрепился во французском языке только в форме будущего времени и в сослагательном наклонении:

<div class=""table-responsive""><table border=""1"" cellspacing=""0"" cellpadding=""0"" class=""table-hover table-bordered table-striped table"">

   <tr>
       <td> Форма</td>
       <td>Латинский Future Perfect</td>
       <td>Французский Futur Simple</td>
   </tr>
   <tr>
       <td>«я» </td>
       <td>iero</td>
       <td>j'irai</td>
   </tr>
   <tr>
       <td>«ты» </td>
       <td>ieris</td>
       <td>tu iras</td>
   </tr>
   <tr>
       <td>«он»</td>
       <td>ierit</td>
       <td>il ira</td>
   </tr>
   <tr>
       <td>«мы»</td>
       <td>ierimus</td>
       <td>nous irons</td>
   </tr>
   <tr>
       <td>«вы»</td>
       <td>ieritis</td>
       <td>vous irez</td>
   </tr>
   <tr>
       <td>«они»</td>
       <td>ierint</td>
       <td>ils vont</td>
   </tr>
</table>
</div>

В сослагательном наклонении сходство современной формы с латинским оригиналом еще более заметна:

<div class=""table-responsive""><table border=""1"" cellspacing=""0"" cellpadding=""0"" class=""table-hover table-bordered table-striped table"">

   <tr>
       <td> Форма</td>
       <td>Латинский Imperfect Subjunctive </td>
       <td>Французский Conditionnel Présent
       </td>
   </tr>
   <tr>
       <td>«я» </td>
       <td>irem</td>
       <td>j'irais</td>
   </tr>
   <tr>
       <td>«ты» </td>
       <td>ires</td>
       <td>tu irais</td>
   </tr>
   <tr>
       <td>«он»</td>
       <td>iret</td>
       <td>il irait</td>
   </tr>
   <tr>
       <td>«мы»</td>
       <td>iremus</td>
       <td>nous irons</td>
   </tr>
   <tr>
       <td>«вы»</td>
       <td>iretis</td>
       <td>vous irez</td>
   </tr>
   <tr>
       <td>«они»</td>
       <td>irent</td>
       <td>ils iraient</td>
   </tr>
</table>
</div>

Теперь об особенностях спряжения.

В повелительном наклонении перед местоимением Y, после которого нет глагола в инфинитиве, у формы ""va"" появляется на конце буква s: va<b>s</b>-y, vas-y toi-même ; vas-y pour me faire plaisir; а если следом идет инфинитив, s не пишется: va y jeter un coup d'œil (взгляни сюда); va y porter mes livres ; va y chercher ta mère.

В вопросительной форме пишется: va-t-il ? И здесь ставятся дефисы до и после t, потому что эта буква тут стоит исключительно для благозвучия. А в случаев с s'en aller в повелительном пишется: va-t'en ! (отвали!) —  и после t ставится апостроф, чтобы обозначить, что это — местоимение te.

Читайте статью об <a href=""/oh-la-la/historie-de-langue/""> истории французского языка<a> и статью <a href=""/oh-la-la/chaud/"">  о принципе изменений в языке<a>."
,У нас такого глагола нет
,"Bénir спрягается по стандартной схеме глаголов II группы — за исключением того, что имеет две формы женского рода в participe passé. Говорят: «situation bénie» (благословенное состояние) но «l'eau bénite» (святая вода) — с t на конце."
,Braire обозначает крик осла. Этот глагол используется только в третьем лице настоящего и будущего времени изъявительного наклонения и в условном наклонении настоящего времени.
,"Это безличная форма глагола. Форма ""il faut"" происходит от глагола faillir."
,Этот глагол существует только в инфинитиве.
,"Этот глагол существует только в настоящем времени, в составных временах и причастиях."
,"Этот глагол существует только в настоящем времени, в составных временах и причастиях."
,Этот глагол существует только в составе выражения peu m'en (или me) chaut — мне пофиг!
,Этот глагол чаще употребляется в возвратной форме: s'asseoir. Обратите внимание на исторически сохранившуюся беглую гласную «e» в классическом варианте спряжения в индикативе. Реформа 1990 года позволяет ее не писать. Предпочтительно выбирать форму спряжения на -ie- и -ey-. Le futur и le conditionnel j'asseyerai и j'asseyerais больше не используются. Еще одна особенность —  это буква d во всех формах единственного числа  в indicatif présent и в impératif présent: je m'assieds.
,"Эти глаголы имеют особенность удваивать e в некоторых лицах в indicatif présent, passé simple, futur, conditionnel, impératif, subjonctif и в мужском роде participe passé. В женского роде появляется аж три e: créée! Последнее é всегда закрыто."
,У этих глаголов удваивается i для 1-го и 2-го лица множественного числа в imparfait и в subjonctif présent: nous appréciions. Эти двойные i происходят при столкновении корня с i на конце с окончанием на ions и iez.
,"Circoncire спрягается как confire, но его причастие прошедшего времени образуется иначе: circoncis - circoncise. Suffire спрягается так же, но образует причастие suffi, которое — <b>обратите на это внимание!</b> — не меняется в женском роде и множественном числе."
,"Так же спрягаются: élire, réélire, lire, relire."
,"Спрягается по типу vivre, revivre и survivre. Le participe passé глагогла survivre  <b>обратите на это внимание!</b> — не меняется в женском роде и множественном числе."
,"Формы глагола, производные от battre, спрягаются так же, как и основной глагол."
,"Формы глагола, производные от mettre, спрягаются так же, как и основной глагол."
,"Большинство форм этого глагола вышли из употребления. Используется только форма третьего лица, но следует иметь в виду, что это производная от глагола falloir."
,"Dire и redire спрягаются во втором лице множественного числа изъявительного наклонения как vous dites —  в отличие от производных от него глаголов contredire, dédire, interdire, médire и prédire; они спрягаются по классической схеме: vous contredisez... Maudire спрягается, как finir, и его причастие прошедшего времени — maudit. 
Кроме dire, есть еще два глагола — faire и être, — которые спрягаются подобным же образом: vous êtes и vous faites."
,У eclore и déclore нет «крышки» в indicatif présent в отличие от clore.
,"Emouvoir и promouvoir спрягаются как mouvoir, но их participe passé не имеет циркумвлекса в мужском роде. У mouvoir это причастие выглядит так: mû, mue, mus и mues. Реформа 1990 года позволяет не ставить циркумфлекс у этого глагола — ведь в отличие от dû, который можно спутать с артиклем du, акцент над mu не влияет на различие между словами."
,"Как правило, глаголы на -eler и -eter удваивают «l» или «t» перед немой «e»: jeter → je jette, appeler → j'appelle. Но есть такие глаголы, которые в подобной позиции не удваивают согласные, а приобретают accent grave над «e», стоящей перед «t» или «l». Например: acheter → j'achète, modeler → je modèle. Всего таких глаголов, которые спрягаются по этой схеме, 22 штуки — вот они: acheter, bégueter, ciseler, congeler, corseter, crocheter, déceler, dégeler, démanteler, écarteler, encasteler, fileter, fureter, geler, haleter, marteler, modeler, peler, racheter, receler, surgeler, celer. "
,"Как правило, глаголы на -eler и -eter удваивают «l» или «t» перед немой «e»: jeter → je jette, appeler → j'appelle. Среди них есть 22 глагола, которые в подобной позиции не удваивают согласные, а приобретают accent grave над «e», стоящей перед «t» или «l». Например: acheter → j'achète, modeler → je modèle — вот их полный список: acheter, bégueter, ciseler, congeler, corseter, crocheter, déceler, dégeler, démanteler, écarteler, encasteler, fileter, fureter, geler, haleter, marteler, modeler, peler, racheter, receler, surgeler, celer.  И вот хорошие новости! Реформа 1990 года разрешила спрягать <b>все</b> глаголы на -eler по схеме modeler/geler c accent grave над «e» — за исключением глагола appeler и его производных — они по-прежнему должны удваивать «l»."
,"В классическом варианте спряжения глаголы на -eler и -eter, как правило, удваивают «l» или «t» перед немой «e»: jeter → je jette, appeler → j'appelle. Среди них есть 22 глагола, которые в подобной позиции не удваивают согласные, а приобретают accent grave над «e», стоящей перед «t» или «l». Например: acheter → j'achète, modeler → je modèle — вот их полный список: acheter, bégueter, ciseler, congeler, corseter, crocheter, déceler, dégeler, démanteler, écarteler, encasteler, fileter, fureter, geler, haleter, marteler, modeler, peler, racheter, receler, surgeler, celer.  И вот хорошие новости! Реформа 1990 года разрешила спрягать <b>все</b> глаголы на -eter по схеме acheter c accent grave над «e» — за исключением глагола jeter и его производных — они по-прежнему должны удваивать «t»."
,"Глагол férir используется исключительно ради его причастия, формирующего выражения féru de qch (иметь пристрастие к чему-либо: féru de musique — меломан, любитель музыки, féru de sport — болельщик) и для выражения sans coup férir — одним махом, без единого выстрела."
,Стандартная схема спряжения глаголов на -dre (кроме prendre — у него своя песня).
,"Глагол frire (жарить) — дефективный глагол, он не употребляется во множественном числе и редко используется в будущем времени. Чтобы спрягнуть этот глагол во времени и числе, в которых он «не существует», используют конструкцию «faire frire» и спрягают уже глагол faire, например: Ne faisons pas frire le pauvre type — Будем поласковее с парнем."
,"Глагол gésir, который означает «покоиться» и употребляется применительно к больным или мертвым персонажам или вещам, разрушенных временем, используют только в indicatif présent и imparfait и в форме причастия настоящего времени и инфинитива. Gésir часто употребляется с наречиями места (ici, là, etc.) в выражении ci-gît, что означает ""здесь покоится"". Реформа 1990 разрешила не ставить циркумфлекс в 3-м лице единственного числа в настоящем времени : il git, ci-git."
,"Haïr — единственный глагол с таким экзотическим окончанием. Он имеет двоеточия над i во всех спряжениях, кроме всего единственного числа настоящего времени в indicatif и 2-го лица единственного числа в impératif. Даже традиционные в passé simple и subjonctif imparfait циркумфлексы — и те заменяются на tréma."
,Два глагола во французком языке — être и avoir —  существуют в двух ипостасях: как самостоятельные смысловые глаголы и как вспомогательные — для образования составных времен. Глагол avoir служит вспомогательным глаголом в составных временах для переходных невозвратных глаголов и большинства непереходных глаголов — это преимущественно глаголы действия; глаголы состояния обслуживаются глаголом être.
,"Глагол être — это один из самых неправильных глаголов из всех глаголов французского языка. Если бы у глаголов был род, он был бы женского — в его спряжении нет никакой логики ;), и это свое свойство он унаследовал от своих латинских корней. Но у него к тому же ещё и отягощенная наследственность: в основе спряжения être лежит не один (!!), а целых три латинских глагола. Три, Карл! Ну, хорошо, пусть не три — два с половиной. Но ведь не один!

Это объясняет, почему в разных временах être имеет столь различающиеся основы. Ну правда — кто скажет, что это — варианты спряжения одного и того же же глагола: je suis, je serai, je fus, j'ai été ?! Правильно — никто.

Но я  вам сейчас все объясню! :) И все станет понятно.

Поскольку о логике спряжения здесь говорить не приходится, нам ничего не остается, как погрузиться в этимологию être — только она даст нам ключ к пониманию и запоминанию его спряжения.

В классическом латинском языке был столь же неправильный глагол «быть», который в инфинитиве звучал так: esse. После падения Рима и расцвета народной латыни он превратился в глагол essere. Уже что-то знакомое, правда? (В итальянском языке он в таком виде сохранился и до наших дней). Спустя сколько-то столетий этот глагол приобрел <i>почти</i> свой окончательный вид. Вот как он был записан во втором издании словаря французской Академии выпуска 1664 года:

<div style=""display:inline;float:left;margin-top:5px;margin-right:0px;margin-bottom:15px;margin-left:0px"">
    <img border=""0"" src=""//files.le-francais.ru/photos/illustrations/etre_page_407_1694.jpg"">
</div>

За примерно тысячу лет из <b>essere</b> он превратился в <b>estre</b>. Но к этому времени буква «s» в таком положении давно перестала читаться, поэтому реформа орфографии закрепила этот факт в написании буквы: в очередном, 3-м издании словаря французской Академии 1740 года это слово уже приобрело современное написание. Циркумфлекс напоминает о том, что рядом здесь когда-то стояла выпавшая буква «s».

<div style=""display:inline;float:left;margin-top:5px;margin-right:0px;margin-bottom:15px;margin-left:0px"">
    <img border=""0"" src=""//files.le-francais.ru/photos/illustrations/etre_page_635_1740.jpg"">
</div>

С инфинитивом мы разобрались. Давайте взглянем на спряжения. Вот настоящее время изъявительного наклонения.

<div class=""table-responsive""><table border=""1"" cellspacing=""0"" cellpadding=""0"" class=""table-hover table-bordered table-striped table"">

    <tr>
        <td> Форма</td>
        <td>Латинский язык</td>
        <td>Французский язык</td>
    </tr>
    <tr>
        <td>«я» </td>
        <td>sum</td>
        <td>suis</td>
    </tr>
    <tr>
        <td>«ты» </td>
        <td>es</td>
        <td>es</td>
    </tr>
    <tr>
        <td>«он»</td>
        <td>est</td>
        <td>est</td>
    </tr>
    <tr>
        <td>«мы»</td>
        <td>sumus</td>
        <td>sommes</td>
    </tr>
    <tr>
        <td>«вы»</td>
        <td>estis</td>
        <td>êtes</td>
    </tr>
    <tr>
        <td>«они»</td>
        <td>sunt</td>
        <td>sont</td>
    </tr>
</table>
</div>

Сразу становится понятно, откуда ноги растут. Есть даже формы, которые вообще не изменились. Этот же латинский глагол дал в современном французском  субжонктив (je sois), будущее время (je serai) и conditionnel (je serais).

Перфектная форма глагола esse — fui — дала основу для спряжения être в passé simple. Сравним древнюю форму глагола с современной:

<div class=""table-responsive""><table border=""1"" cellspacing=""0"" cellpadding=""0"" class=""table-hover table-bordered table-striped table"">
    <tr>
        <td> Форма</td>
        <td>Латинский язык</td>
        <td>Французский язык</td>
    </tr>
    <tr>
        <td>«я» </td>
        <td>fui</td>
        <td>fus</td>
    </tr>
    <tr>
        <td>«ты» </td>
        <td>fuisti</td>
        <td>fus</td>
    </tr>
    <tr>
        <td>«он»</td>
        <td>fuit</td>
        <td>fut</td>
    </tr>
    <tr>
        <td>«мы»</td>
        <td>fuimus</td>
        <td>fûmes</td>
    </tr>
    <tr>
        <td>«вы»</td>
        <td>fuistis</td>
        <td>fûtes</td>
    </tr>
    <tr>
        <td>«они»</td>
        <td>fuerunt</td>
        <td>furent</td>
    </tr>
</table>
</div>

Ну, понятно, где собака порылась.

И, наконец, еще один латинский глагол — stare — оставил свои следы в спряжении être. Его значение — стоять, причем не только в смысле пребывать в вертикальном положении, но и вообще находиться — довольно близко по смыслу к esse. Этот глагол дал основу трем формам спряжения в старофранцузском языке:

<ul>
    <li>в imparfait: j'estois (в современном французском j'étais) ,</li>
    <li>в причастии настоящего времени: estant (сегодня это étant),</li>
    <li>и в причастии прошедшего времени: esté (современное été)</li>
</ul>

Этот глагол — stare (стоять) — кстати, очень живучий. Он пришел во все наши языки из праиндоевропейского и, как следствие, в том же значении присутствует во многих языках из этой семьи: в английском это stand, в немецком stehen, в итальянском без изменения — stare, и даже в русском это «стоять» — улавливаете сходство? Даже слово «стоп» имеет те же корни!

Читайте статью об <a href=""/oh-la-la/historie-de-langue/""> истории французского языка<a> и статью <a href=""/oh-la-la/chaud/"">  о принципе изменений в языке<a>."
,"Глаголы на -clure имеют одинаковое спряжение и разнятся причастиями. Inclure и occlure образуют particpe passé inclus(e) и occlus(e) соответственно, в то время как exclure и conclure образуют эти причастия без «s» на конце: exclu(e) и conclu(e)."
,"Глагол issir — дефективный, он используется только в форме причастия в выражении être issu de qch/qcn — происходить из..., получаться из..., вести род от..."
,Особеность глагола savoir- это форма je sache в subjonctif.
,"Глагол vaincre и производный от него convaincre — единственный неправильный глагол, который заканчивается на «c» в форме «он» настоящего времени: il vainc (мы помним, что все неправильные глаголы в этой позиции заканчиваются или на t, или на d). Кроме того, перед любой гласной, кроме u, буква «c» заменяется на «qu». Вот как они это всё запоминают!"
,"У глагола courbaturer два варианта participes passés: 
- courbaturé, ée, és, ées 
- courbatu, us, ue, ues
Причастие — практически единственное амплуа этого глагола."
,"Глагол ficher — совершенно правильный глагол. И есть у него законное причастие fiché. Но угораздило ему стать эвфемизмом к глаголу foutre. В этом новом амплуа он обзавелся еще одним причастием: если у foutre причастие пршедшего времени foutu, то и ficher обзавелся созвучным незаконнорожденным fichu — чтобы различать причастия от разных смыслов глагола. Вот и примеры:
ce n'est pas pour ton fichu nez — не твоего ума дело, не суй свой грязный нос
être fichu comme quatre sous — вырядиться, как чучело гороховое"
,"Глаголы на -ger считаются совершенно правильными глаголами, но тем не менее, они имеют один нюанс: чтобы сохранить звук g мягким перед теми гласными, которые заставляют g произносить тветдо, буква e сохраняется после g, как своего рода мягкий знак: tu changeas, nous changeons."
,Глагол béer — дефективный. Употребляются только его причастия: настоящего времени béant (un gouffre béant — зияющая бездна) и прошедщего — bé (bouche bée —  раскрымши рот).
,"Глагол douer — дефективный. Используется только его причастие в форме être doué: говорят не «je doue», a «je suis doué»."
,"Глагол harceler имеет две формы спряжения. Одна как celer: je harcèle, и другая — как appeller: je harcelle. Первая используется чаще."
,"Глагол naître отличается от других глаголов типа connaître своей формой в двух временах: passé simple и imparfait du subjonctif: там, где у всех «соплеменников» там стоит -u-, у naitre'а вырастает целый крокодил -aqui-. Традиционно для всей группы буква i перед t обрастает циркумфлексом. Реформа 1990 года разрешает его не ставить — за исключением одного случая: в passé simple «vous naquîtes», когда речь идет о знаке завершения. У глагола renaître крайне редко используют его причастие прошедшего времени и, как следствие, составные формы времён."
,"Глагол paître — пасти и, в устаревшем значении, кормить животных — используют только в простых временах. Его не существует в passé simple и в subjonctif imparfait, а причастие прошедшего времени pu используется только как термин из соколиной охоты. Традиционно имеет циркумфлекс над î перед t. Реформа 1990 г. позволяет его не ставить."
,"У глагола plaire и его производных, в отличие от своего «одногрупника» taire, появляется циркумфлекс в форме «он» настоящего времени: il plaît (ср.: il tait), но реформа 1990 года позволяет его не ставить. Причастие plaire  полностью совпадает с причастием глагола pleuvoir: plu — за исключением того, что у последнего из-за дефективности причастие может быть только мужского рода; отсюда совпадение всех составных времен (естественно, только в форме «он»). Совпадает у них форма и в  imparfait du subjonctif: qu'il plût. Еще одна особенность plaire, complaire и déplaire — у них <b>причастие прошедщего времени совпадает во всех формах</b> — будь то женски род или множественное число."
,"У глагола pouvoir появляется двойная r в futur simple и в conditionnel présent: je pourrai, je pourrais, но в отличие от глаголов courir и mourir, произносится только однин звук [r]. Существует два варианта спряжения глагола povoir, которые различаются в форме «я»: je peux и je puis (от более старой основы, совпадающей с основой субжонктива и существительного puissance — могущество, сила, мощность). Форма je puis более вежлива, чем je peux. От нее же происходит и вопросительная форма: puis-je?, и это единственный допустимый вариант. У pouvoir, как и у всего трех других глаголов vouloir, valoir и faillir, в 1-м и во 2-м лицах в indicatif présent стоит окончание -x: je peux, tu peux."
,"Глагол repaître спрягается по типу paître, но с б<b>о</b>льшим числом времен. Типичный î с крышкой перед t — реформа 1990 года разрешает его не ставить."
,Глагол sourdre дефективный. Он используется только для третьего лица в indicatif présent и imparfait.
,Две формы — conditionnel présent и futur simple — полностью устарели.
,"Две формы conditionnel présent и futur simple в современном французском не используются. Глагол être, как вспомогательный глагол, для спряжения в состаных временах используется редко — всё больше avoir."
,"Глаголы на -ayer, оставаясь правильными глаголами, имеют два варианта спряжения: a) либо они сохраняют свой «y» во всех формах: je paye... b) либо «y» заменяется на «i» перед «e» немой перед окончаниями -e, -es, -ent, -erai и erais: je paie. Заметьте, что буква i в окончаниях -ions и -iez в imparfait  и subjonctif présent, сталкиваясь с y, не сливается с ним."
,"Глаголы на -ébrer, -écer, -écher, -écrer, -éder, -égler, -égner, -égrer, -éguer, -éler, -émer, -éner, -équer, -érer, -éser, -éter, -étrer, -évrer, -éyer — их всех объединяет закрытое é в передпоследнем слоге. Они меняют é закрытое на è открытое перед последним немым слогом: gérer → je gère. В futur и в conditionnel эти глаголы сохраняют закрытое é: gérer → je gérerai, je gérais, и это несмотря на тендецию произносить é все более открыто. Новая орфорграфия 1990 года позволяет писать è, чтобы отразить эту тенденцию: je gèrerai, je gèrerais, поэтому у этих глаголов здесь представлено два варианта спряжения."
,"Глаголы на -ecer, -emer, -eper, -erer, -eser, -ever, -evrer имеют e немое в предпоследнем слоге: promener. Эти глаголы меняют e немое на открытыое è перед немым слогом, в том числе и перед окончаниями в futur simple и в conditionnel présent: je promène, je promènerai. Для глаголов на -eler и -eter действуют другие правила."
,"Глаголы на -éger во всех формах сохраняют звук g мягким. Чтобы это обеспечить, после g перед гласными a и o сохраняется буква e. Буква é в корне слова меняется на è перед e-немой — кроме conditionnel и futur. Новая орфорграфия позволяет писать è и здесь для единообразия: je protègerai, je protègerais. В нашей спрягалке мы не стали делать для этого отдельный вариант спряжения."
,"Глаголы на -eyer — grasseyer, faseyer, langueyer, capeyer — сохраняют y во всех спряжениях: просто к основе на -ey добавляются стандартные окончания правильных глаголов."
,"Глаголы на -oyer и -uyer меняют y в корне слова на i перед e немой — перед окончаниями -e, -es, -ent, -erai, -erais: ennuyer → j'ennuie. Заметьте, что буква i в окончаниях -ions и -iez в imparfait и subjonctif présent, сталкиваясь с y из основы, сохраняется. Только глаголы Envoyer и renvoyer ведут себя особо в futur и conditionnel — там просто вылезает другая основа."
